Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-31T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-31T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500%3Aunits%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2004-02-25,-15.2917538
2004-02-26,-15.3457088
2004-02-27,-15.1320553
2004-02-28,-15.0895138
2004-02-29,-14.9793453
2004-03-01,-14.7977047
2004-03-02,-14.9416866
2004-03-03,-14.7427425
2004-03-04,-14.4232845
2004-03-05,-14.3313656
2004-03-06,-14.3374691
2004-03-07,-14.201086
2004-03-08,-14.0954037
2004-03-09,-14.1661739
2004-03-10,-14.2294979
2004-03-11,-14.3040218
2004-03-12,-14.3512936
2004-03-13,-14.4941769
2004-03-14,-14.5850582
2004-03-15,-14.7777462
2004-03-16,-14.8088436
2004-03-17,-14.8386593
2004-03-18,-14.9322262
2004-03-19,-14.9477901
2004-03-20,-14.9489803
2004-03-21,-14.9623775
2004-03-22,-15.0531979
2004-03-23,-14.9599056
2004-03-24,-14.9759579
2004-03-25,-14.9879513
2004-03-26,-15.0366573
2004-03-27,-14.9718685
2004-03-28,-14.8202267
2004-03-29,-14.6239681
2004-03-30,-14.5113277
2004-03-31,-14.8432064
2004-04-01,-14.408453
2004-04-02,-14.4603329
2004-04-03,-14.5364132
2004-04-04,-14.5379391
2004-04-05,-14.5771542
2004-04-06,-14.682806
2004-04-07,-14.7281857
2004-04-08,-14.7307186
2004-04-09,-14.7857723
2004-04-10,-14.7081051
2004-04-11,-14.6658382
2004-04-12,-14.6330624
2004-04-13,-14.5453854
2004-04-14,-14.4847775
2004-04-15,-14.4973507
2004-04-16,-14.4253902
2004-04-17,-14.3065853
2004-04-18,-14.3844357
2004-04-19,-14.3032284
2004-04-20,-14.1664791
2004-04-21,-14.4957638
2004-04-22,-14.3170834
2004-04-23,-14.33634
2004-04-24,-14.2116146
2004-04-25,-14.0554256
2004-04-26,-13.9436092
2004-04-27,-13.8995724
2004-04-28,-13.8119259
2004-04-29,-13.8393002
2004-04-30,-14.2639828
2004-05-01,-14.050909
2004-05-02,-14.0398617
2004-05-03,-13.7760677
2004-05-04,-13.6942806
2004-05-05,-13.6395626
2004-05-06,-13.5345821
2004-05-07,-13.4320431
2004-05-08,-13.4608822
2004-05-09,-13.5203304
2004-05-10,-13.5456295
2004-05-11,-13.5088253
2004-05-12,-13.4724789
2004-05-13,-13.5269222
2004-05-14,-13.5746517
2004-05-15,-13.6982479
2004-05-16,-13.8661251
2004-05-17,-13.8587704
2004-05-18,-13.9408016
2004-05-19,-13.9649105
2004-05-20,-13.8802853
2004-05-21,-13.7501888
2004-05-22,-13.6622066
2004-05-23,-13.5811825
2004-05-24,-13.6206417
2004-05-25,-13.7228756
2004-05-26,-13.6669369
2004-05-27,-13.587347
2004-05-28,-13.6234493
2004-05-29,-13.5527706
2004-05-30,-13.4209652
2004-05-31,-13.4292049
2004-06-01,-13.4376583
2004-06-02,-13.3254452
2004-06-03,-13.3110409
2004-06-04,-13.3308163
2004-06-05,-13.3316402
2004-06-06,-13.2578182
2004-06-07,-13.2583675
2004-06-08,-13.2121029
2004-06-09,-13.1885738
2004-06-10,-13.0879879
2004-06-11,-12.9811153
2004-06-12,-12.8828793
2004-06-13,-12.8503475
2004-06-14,-12.8682308
2004-06-15,-12.9273129
2004-06-16,-12.9339046
2004-06-17,-12.8678341
2004-06-18,-12.7572994
2004-06-19,-12.6108761
2004-06-20,-12.6025753
2004-06-21,-12.6075497
2004-06-22,-12.7782345
2004-06-23,-12.7151546
2004-06-24,-12.6868343
2004-06-25,-12.7015438
2004-06-26,-12.7235775
2004-06-27,-12.503973
2004-06-28,-12.4399471
2004-06-29,-12.4009151
2004-06-30,-12.3617001
2004-07-01,-12.3182735
2004-07-02,-12.3969173
2004-07-03,-12.4863033
2004-07-04,-12.5384274
2004-07-05,-12.3347836
2004-07-06,-12.2304134
2004-07-07,-12.220892
2004-07-08,-12.3156796
2004-07-09,-12.3820858
2004-07-10,-12.2804623
2004-07-11,-12.2898617
2004-07-12,-12.2798519
2004-07-13,-12.4110775
2004-07-14,-12.3939571
2004-07-15,-12.4600887
2004-07-16,-12.5824337
2004-07-17,-12.5221615
2004-07-18,-12.3700924
2004-07-19,-12.2821102
2004-07-20,-12.3421383
2004-07-21,-12.3116817
2004-07-22,-12.3428097
2004-07-23,-12.3697872
2004-07-24,-12.2221737
2004-07-25,-12.2928219
2004-07-26,-12.3119869
2004-07-27,-12.3379879
2004-07-28,-12.3413448
2004-07-29,-12.3124142
2004-07-30,-12.276556
2004-07-31,-12.3790646
2004-08-01,-12.4106197
2004-08-02,-12.3862667
2004-08-03,-12.3481503
2004-08-04,-12.1767941
2004-08-05,-12.449316
2004-08-06,-12.0763912
2004-08-07,-12.0880489
2004-08-08,-12.2321529
2004-08-09,-12.2448177
2004-08-10,-12.2755184
2004-08-11,-12.1068172
2004-08-12,-12.0596981
2004-08-13,-11.998785
2004-08-14,-11.8994808
2004-08-15,-12.0058956
2004-08-16,-11.9842587
2004-08-17,-12.0566463
2004-08-18,-12.127142
2004-08-19,-12.2990475
2004-08-20,-12.2645931
2004-08-21,-12.2770748
2004-08-22,-12.29743
2004-08-23,-12.3629208
2004-08-24,-12.408392
2004-08-25,-12.4759579
2004-08-26,-12.6054134
2004-08-27,-12.5521297
2004-08-28,-12.5853329
2004-08-29,-12.6294613
2004-08-30,-12.6701412
2004-08-31,-12.6629086
2004-09-01,-12.7306271
2004-09-02,-12.8194942
2004-09-03,-12.8336849
2004-09-04,-12.937109
2004-09-05,-13.0738583
2004-09-06,-13.0925961
2004-09-07,-12.972784
2004-09-08,-12.8647213
2004-09-09,-12.8146725
2004-09-10,-12.8200436
2004-09-11,-12.7699947
2004-09-12,-12.7558651
2004-09-13,-12.7834225
2004-09-14,-12.9425411
2004-09-15,-12.8873653
2004-09-16,-12.9396725
2004-09-17,-13.0095882
2004-09-18,-13.1074276
2004-09-19,-13.0446224
2004-09-20,-13.1035824
2004-09-21,-13.1001949
2004-09-22,-13.0144405
2004-09-23,-13.0564632
2004-09-24,-13.1404476
2004-09-25,-13.3002377
2004-09-26,-13.3613033
2004-09-27,-13.4391842
2004-09-28,-13.5119076
2004-09-29,-13.4906673
2004-09-30,-13.372015
2004-10-01,-13.4898434
2004-10-02,-13.5689754
2004-10-03,-13.7317257
2004-10-04,-13.8287716
2004-10-05,-13.9437923
2004-10-06,-13.863287
2004-10-07,-13.8065853
2004-10-08,-13.6863155
2004-10-09,-13.7045345
2004-10-10,-13.6598263
2004-10-11,-13.6623287
2004-10-12,-13.8325558
2004-10-13,-13.632513
2004-10-14,-13.580389
2004-10-15,-13.6738033
2004-10-16,-13.8678341
2004-10-17,-13.9284115
2004-10-18,-13.9417171
2004-10-19,-13.8594112
2004-10-20,-13.9469662
2004-10-21,-13.9182186
2004-10-22,-14.0126095
2004-10-23,-14.1234493
2004-10-24,-14.2058773
2004-10-25,-14.258337
2004-10-26,-14.3038387
2004-10-27,-14.3004208
2004-10-28,-14.4592037
2004-10-29,-14.6309261
2004-10-30,-14.6182003
2004-10-31,-14.7662106
2004-11-01,-14.6284847
2004-11-02,-14.4494076
2004-11-03,-14.4897823
2004-11-04,-14.4103451
2004-11-05,-14.3895626
2004-11-06,-14.363287
